person_id,loan_grade,loan_intent,loan_amnt,loan_int_rate,loan_percent_income
1,D,PERSONAL,35000,16.02,0.59
2,B,EDUCATION,1000,11.14,0.1
3,C,MEDICAL,5500,12.87,0.57
4,C,MEDICAL,35000,15.23,0.53
5,C,MEDICAL,35000,14.27,0.55
6,A,VENTURE,2500,7.14,0.25
7,B,EDUCATION,35000,12.42,0.45
8,B,MEDICAL,35000,11.11,0.44
9,A,PERSONAL,35000,8.9,0.42
10,D,VENTURE,1600,14.74,0.16
11,B,VENTURE,35000,10.37,0.41
12,A,HOMEIMPROVEMENT,4500,8.63,0.45
13,A,VENTURE,35000,7.9,0.37
14,E,EDUCATION,35000,18.39,0.32
15,A,EDUCATION,35000,7.9,0.3
16,B,DEBTCONSOLIDATION,30000,10.65,0.06
17,A,EDUCATION,35000,7.9,0.29
18,F,MEDICAL,35000,20.25,0.32
19,D,DEBTCONSOLIDATION,35000,18.25,0.31
20,B,EDUCATION,1750,10.99,0.16
21,A,VENTURE,35000,7.49,0.22
22,E,PERSONAL,34800,16.77,0.25
23,D,EDUCATION,34000,17.58,0.52
24,A,PERSONAL,1500,7.29,0.14
25,D,PERSONAL,33950,14.54,0.42
26,C,HOMEIMPROVEMENT,33000,12.68,0.49
27,E,VENTURE,4575,17.74,0.42
28,A,PERSONAL,1400,9.32,0.13
29,B,HOMEIMPROVEMENT,32500,9.99,0.5
30,C,EDUCATION,4000,12.84,0.35
31,B,MEDICAL,2000,11.12,0.17
32,A,VENTURE,32000,6.62,0.27
33,C,HOMEIMPROVEMENT,31050,14.17,0.33
34,C,DEBTCONSOLIDATION,24250,13.85,0.08
35,C,MEDICAL,7800,13.49,0.03
36,A,EDUCATION,2500,7.51,0.21
37,E,EDUCATION,30000,18.39,0.63
38,D,DEBTCONSOLIDATION,30000,14.54,0.47
39,D,HOMEIMPROVEMENT,30000,16.89,0.4
40,D,DEBTCONSOLIDATION,30000,,0.42
41,E,MEDICAL,30000,17.99,0.41
42,B,VENTURE,2500,12.69,0.21
43,A,VENTURE,20000,7.88,0.07
44,F,EDUCATION,24250,19.41,0.08
45,B,HOMEIMPROVEMENT,10000,10.38,0.03
46,D,EDUCATION,25000,15.33,0.08
47,E,HOMEIMPROVEMENT,18000,16.45,0.06
48,A,PERSONAL,30000,7.49,0.37
49,B,MEDICAL,30000,12.69,0.38
50,A,DEBTCONSOLIDATION,30000,6.62,0.34
51,D,DEBTCONSOLIDATION,30000,,0.38
52,F,DEBTCONSOLIDATION,30000,18.62,0.38
53,C,PERSONAL,30000,15.23,0.33
54,B,VENTURE,30000,10.65,0.31
55,A,EDUCATION,30000,7.9,0.25
56,C,PERSONAL,10000,15.96,0.04
57,B,VENTURE,20000,11.48,0.07
58,A,PERSONAL,35000,,0.13
59,A,PERSONAL,30000,7.29,0.23
60,E,VENTURE,1750,,0.15
61,A,VENTURE,30000,5.99,0.23
62,B,VENTURE,12000,11.58,0.04
63,B,EDUCATION,10000,,0.04
64,D,MEDICAL,25000,15.7,0.1
65,D,EDUCATION,29100,15.99,0.42
66,D,EDUCATION,1500,14.84,0.13
67,B,HOMEIMPROVEMENT,28000,10.99,0.11
68,D,HOMEIMPROVEMENT,20000,14.42,0.08
69,A,EDUCATION,9600,6.99,0.04
70,C,MEDICAL,25000,13.49,0.1
71,C,MEDICAL,3000,,0.25
72,A,MEDICAL,28000,,0.49
73,C,EDUCATION,3000,13.61,0.25
74,A,EDUCATION,28000,7.9,0.43
75,A,VENTURE,28000,7.49,0.33
76,A,EDUCATION,6100,7.51,0.51
77,B,VENTURE,28000,9.91,0.32
78,C,PERSONAL,4200,13.48,0.35
79,A,DEBTCONSOLIDATION,4750,7.14,0.4
80,D,VENTURE,28000,15.99,0.34
81,C,EDUCATION,18000,12.98,0.07
82,C,VENTURE,4800,13.57,0.02
83,B,DEBTCONSOLIDATION,28000,12.69,0.28
84,A,EDUCATION,28000,8.9,0.25
85,A,DEBTCONSOLIDATION,2700,,0.23
86,B,EDUCATION,28000,,0.26
87,B,DEBTCONSOLIDATION,28000,11.11,0.19
88,A,HOMEIMPROVEMENT,27600,,0.4
