age,income,home_ownership,emp_length,default_on_file,cred_hist_length,loan_grade,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,loan_status,overdue_times
22,59000.0,RENT,123.0,Y,3,D,PERSONAL,35000.0,16.02,0.59,1,1
22,59000.0,RENT,123.0,Y,3,D,PERSONAL,35000.0,16.02,0.59,1,1
22,59000.0,RENT,123.0,Y,3,D,PERSONAL,35000.0,16.02,0.59,1,1
22,59000.0,RENT,123.0,Y,3,D,PERSONAL,35000.0,16.02,0.59,1,1
22,59000.0,RENT,123.0,Y,3,D,PERSONAL,35000.0,16.02,0.59,1,1
22,59000.0,RENT,123.0,Y,3,D,PERSONAL,35000.0,16.02,0.59,1,1
21,9600.0,OWN,5.0,N,2,B,EDUCATION,1000.0,11.14,0.1,0,0
21,9600.0,OWN,5.0,N,2,B,EDUCATION,1000.0,11.14,0.1,0,0
21,9600.0,OWN,5.0,N,2,B,EDUCATION,1000.0,11.14,0.1,0,0
21,9600.0,OWN,5.0,N,2,B,EDUCATION,1000.0,11.14,0.1,0,0
21,9600.0,OWN,5.0,N,2,B,EDUCATION,1000.0,11.14,0.1,0,0
21,9600.0,OWN,5.0,N,2,B,EDUCATION,1000.0,11.14,0.1,0,0
25,9600.0,MORTGAGE,1.0,N,3,C,MEDICAL,5500.0,12.87,0.57,1,1
25,9600.0,MORTGAGE,1.0,N,3,C,MEDICAL,5500.0,12.87,0.57,1,1
25,9600.0,MORTGAGE,1.0,N,3,C,MEDICAL,5500.0,12.87,0.57,1,1
25,9600.0,MORTGAGE,1.0,N,3,C,MEDICAL,5500.0,12.87,0.57,1,1
25,9600.0,MORTGAGE,1.0,N,3,C,MEDICAL,5500.0,12.87,0.57,1,1
25,9600.0,MORTGAGE,1.0,N,3,C,MEDICAL,5500.0,12.87,0.57,1,1
23,65500.0,RENT,4.0,N,2,C,MEDICAL,35000.0,15.23,0.53,1,1
23,65500.0,RENT,4.0,N,2,C,MEDICAL,35000.0,15.23,0.53,1,1
23,65500.0,RENT,4.0,N,2,C,MEDICAL,35000.0,15.23,0.53,1,1
23,65500.0,RENT,4.0,N,2,C,MEDICAL,35000.0,15.23,0.53,1,1
23,65500.0,RENT,4.0,N,2,C,MEDICAL,35000.0,15.23,0.53,1,1
23,65500.0,RENT,4.0,N,2,C,MEDICAL,35000.0,15.23,0.53,1,1
24,54400.0,RENT,8.0,Y,4,C,MEDICAL,35000.0,14.27,0.55,1,1
24,54400.0,RENT,8.0,Y,4,C,MEDICAL,35000.0,14.27,0.55,1,1
24,54400.0,RENT,8.0,Y,4,C,MEDICAL,35000.0,14.27,0.55,1,1
24,54400.0,RENT,8.0,Y,4,C,MEDICAL,35000.0,14.27,0.55,1,1
24,54400.0,RENT,8.0,Y,4,C,MEDICAL,35000.0,14.27,0.55,1,1
24,54400.0,RENT,8.0,Y,4,C,MEDICAL,35000.0,14.27,0.55,1,1
21,9900.0,OWN,2.0,N,2,A,VENTURE,2500.0,7.14,0.25,1,1
21,9900.0,OWN,2.0,N,2,A,VENTURE,2500.0,7.14,0.25,1,1
21,9900.0,OWN,2.0,N,2,A,VENTURE,2500.0,7.14,0.25,1,1
21,9900.0,OWN,2.0,N,2,A,VENTURE,2500.0,7.14,0.25,1,1
21,9900.0,OWN,2.0,N,2,A,VENTURE,2500.0,7.14,0.25,1,1
21,9900.0,OWN,2.0,N,2,A,VENTURE,2500.0,7.14,0.25,1,1
26,77100.0,RENT,8.0,N,3,B,EDUCATION,35000.0,12.42,0.45,1,1
26,77100.0,RENT,8.0,N,3,B,EDUCATION,35000.0,12.42,0.45,1,1
26,77100.0,RENT,8.0,N,3,B,EDUCATION,35000.0,12.42,0.45,1,1
26,77100.0,RENT,8.0,N,3,B,EDUCATION,35000.0,12.42,0.45,1,1
26,77100.0,RENT,8.0,N,3,B,EDUCATION,35000.0,12.42,0.45,1,1
26,77100.0,RENT,8.0,N,3,B,EDUCATION,35000.0,12.42,0.45,1,1
24,78956.0,RENT,5.0,N,4,B,MEDICAL,35000.0,11.11,0.44,1,1
24,78956.0,RENT,5.0,N,4,B,MEDICAL,35000.0,11.11,0.44,1,1
24,78956.0,RENT,5.0,N,4,B,MEDICAL,35000.0,11.11,0.44,1,1
24,78956.0,RENT,5.0,N,4,B,MEDICAL,35000.0,11.11,0.44,1,1
24,78956.0,RENT,5.0,N,4,B,MEDICAL,35000.0,11.11,0.44,1,1
24,78956.0,RENT,5.0,N,4,B,MEDICAL,35000.0,11.11,0.44,1,1
24,83000.0,RENT,8.0,N,2,A,PERSONAL,35000.0,8.9,0.42,1,1
24,83000.0,RENT,8.0,N,2,A,PERSONAL,35000.0,8.9,0.42,1,1
24,83000.0,RENT,8.0,N,2,A,PERSONAL,35000.0,8.9,0.42,1,1
24,83000.0,RENT,8.0,N,2,A,PERSONAL,35000.0,8.9,0.42,1,1
24,83000.0,RENT,8.0,N,2,A,PERSONAL,35000.0,8.9,0.42,1,1
24,83000.0,RENT,8.0,N,2,A,PERSONAL,35000.0,8.9,0.42,1,1
21,10000.0,OWN,6.0,N,3,D,VENTURE,1600.0,14.74,0.16,1,1
21,10000.0,OWN,6.0,N,3,D,VENTURE,1600.0,14.74,0.16,1,1
21,10000.0,OWN,6.0,N,3,D,VENTURE,1600.0,14.74,0.16,1,1
21,10000.0,OWN,6.0,N,3,D,VENTURE,1600.0,14.74,0.16,1,1
21,10000.0,OWN,6.0,N,3,D,VENTURE,1600.0,14.74,0.16,1,1
21,10000.0,OWN,6.0,N,3,D,VENTURE,1600.0,14.74,0.16,1,1
22,85000.0,RENT,6.0,N,4,B,VENTURE,35000.0,10.37,0.41,1,1
22,85000.0,RENT,6.0,N,4,B,VENTURE,35000.0,10.37,0.41,1,1
22,85000.0,RENT,6.0,N,4,B,VENTURE,35000.0,10.37,0.41,1,1
22,85000.0,RENT,6.0,N,4,B,VENTURE,35000.0,10.37,0.41,1,1
22,85000.0,RENT,6.0,N,4,B,VENTURE,35000.0,10.37,0.41,1,1
22,85000.0,RENT,6.0,N,4,B,VENTURE,35000.0,10.37,0.41,1,1
21,10000.0,OWN,2.0,N,2,A,HOMEIMPROVEMENT,4500.0,8.63,0.45,1,1
21,10000.0,OWN,2.0,N,2,A,HOMEIMPROVEMENT,4500.0,8.63,0.45,1,1
21,10000.0,OWN,2.0,N,2,A,HOMEIMPROVEMENT,4500.0,8.63,0.45,1,1
21,10000.0,OWN,2.0,N,2,A,HOMEIMPROVEMENT,4500.0,8.63,0.45,1,1
21,10000.0,OWN,2.0,N,2,A,HOMEIMPROVEMENT,4500.0,8.63,0.45,1,1
21,10000.0,OWN,2.0,N,2,A,HOMEIMPROVEMENT,4500.0,8.63,0.45,1,1
23,95000.0,RENT,2.0,N,2,A,VENTURE,35000.0,7.9,0.37,1,1
23,95000.0,RENT,2.0,N,2,A,VENTURE,35000.0,7.9,0.37,1,1
23,95000.0,RENT,2.0,N,2,A,VENTURE,35000.0,7.9,0.37,1,1
23,95000.0,RENT,2.0,N,2,A,VENTURE,35000.0,7.9,0.37,1,1
23,95000.0,RENT,2.0,N,2,A,VENTURE,35000.0,7.9,0.37,1,1
